"subject","quantity","value","tolerance","passes","note"
"subj2","territory_budget_share: face-selective",0.00550989945195579,NA,NA,"9 searchlights centred in Haxby's face-selective ROI"
"subj2","territory_budget_share: house-selective",0.296624920087103,NA,NA,"48 searchlights centred in Haxby's house-selective ROI"
"subj2","territory_budget_share: other VT",0.69786518046094,NA,NA,"407 searchlights centred in Haxby's other VT ROI"
"subj2","territory_ledger_closes",2.8421709430404e-14,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj2","n_quirks",0,NA,NA,"none: 12 runs, all 8 conditions, no degenerate voxels, all masks present"
"subj3","vt_voxels_in_mask",307,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj3","vt_voxels_analyzed",307,NA,NA,"domain features: mask voxels that vary in every run"
"subj3","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj3","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj3","n_run_pairs",66,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj3","n_searchlights",307,NA,NA,"conservative searchlights, r = 8 mm"
"subj3","median_searchlight_voxels",16,NA,NA,"median node support at that radius"
"subj3","frame_column_mass_max_deviation",6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj3","whole_vt_total",211.305453982,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj3","conservative_total_sum",211.305453981999,NA,NA,"sum over the conservative searchlights"
"subj3","conservation_identity",-1.70530256582424e-13,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj3","conservation_identity_relative",-8.07031968975826e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj3","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj3","coherent_share_base_radius",0.800730092419987,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj3","attribution_map_negative_nodes",2,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj3","half_budget_nodes",51,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
"subj3","territory_budget_share: face-selective",0.00158016618045119,NA,NA,"2 searchlights centred in Haxby's face-selective ROI"
"subj3","territory_budget_share: house-selective",0.750803213319753,NA,NA,"117 searchlights centred in Haxby's house-selective ROI"
"subj3","territory_budget_share: other VT",0.247616620499795,NA,NA,"188 searchlights centred in Haxby's other VT ROI"
"subj3","territory_ledger_closes",2.8421709430404e-14,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj3","n_quirks",0,NA,NA,"none: 12 runs, all 8 conditions, no degenerate voxels, all masks present"
"subj4","vt_voxels_in_mask",675,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj4","vt_voxels_analyzed",675,NA,NA,"domain features: mask voxels that vary in every run"
"subj4","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj4","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj4","n_run_pairs",66,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj4","n_searchlights",675,NA,NA,"conservative searchlights, r = 8 mm"
"subj4","median_searchlight_voxels",19,NA,NA,"median node support at that radius"
"subj4","frame_column_mass_max_deviation",6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj4","whole_vt_total",203.620410146515,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj4","conservative_total_sum",203.620410146515,NA,NA,"sum over the conservative searchlights"
"subj4","conservation_identity",-8.5265128291212e-14,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj4","conservation_identity_relative",-4.18745489363564e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj4","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj4","coherent_share_base_radius",0.499383842250459,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj4","attribution_map_negative_nodes",1,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj4","half_budget_nodes",142,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
"subj4","territory_budget_share: face-selective",0.0438174956473721,NA,NA,"38 searchlights centred in Haxby's face-selective ROI"
"subj4","territory_budget_share: house-selective",0.391545278065884,NA,NA,"148 searchlights centred in Haxby's house-selective ROI"
"subj4","territory_budget_share: other VT",0.564637226286743,NA,NA,"489 searchlights centred in Haxby's other VT ROI"
"subj4","territory_ledger_closes",-2.8421709430404e-14,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj4","n_quirks",0,NA,NA,"none: 12 runs, all 8 conditions, no degenerate voxels, all masks present"
"subj5","vt_voxels_in_mask",422,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj5","vt_voxels_analyzed",422,NA,NA,"domain features: mask voxels that vary in every run"
"subj5","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj5","n_runs",11,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj5","n_run_pairs",55,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj5","n_searchlights",422,NA,NA,"conservative searchlights, r = 8 mm"
"subj5","median_searchlight_voxels",16,NA,NA,"median node support at that radius"
"subj5","frame_column_mass_max_deviation",6.66133814775094e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj5","whole_vt_total",92.7655129073547,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj5","conservative_total_sum",92.7655129073546,NA,NA,"sum over the conservative searchlights"
"subj5","conservation_identity",-4.2632564145606e-14,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj5","conservation_identity_relative",-4.59573421301334e-16,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj5","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj5","coherent_share_base_radius",0.621880826098572,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj5","attribution_map_negative_nodes",32,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj5","half_budget_nodes",64,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
"subj5","territory_budget_share: face-selective",0.119279096115955,NA,NA,"41 searchlights centred in Haxby's face-selective ROI"
"subj5","territory_budget_share: house-selective",0.400034967447744,NA,NA,"51 searchlights centred in Haxby's house-selective ROI"
"subj5","territory_budget_share: other VT",0.480685936436301,NA,NA,"330 searchlights centred in Haxby's other VT ROI"
"subj5","territory_ledger_closes",0,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj5","n_quirks",1,NA,NA,"run run09 carries no labelled volumes (all eight conditions absent) and is dropped"
"subj6","vt_voxels_in_mask",348,NA,NA,"voxels in mask4_vt.nii.gz as shipped"
"subj6","vt_voxels_analyzed",348,NA,NA,"domain features: mask voxels that vary in every run"
"subj6","vt_voxels_dropped",0,NA,NA,"constant in at least one run; z-scoring undefined, so excluded"
"subj6","n_runs",12,NA,NA,"runs contributing a full eight-condition mean matrix"
"subj6","n_run_pairs",66,NA,NA,"off-diagonal ordered run pairs the crossvalidated estimate averages"
"subj6","n_searchlights",348,NA,NA,"conservative searchlights, r = 8 mm"
"subj6","median_searchlight_voxels",15,NA,NA,"median node support at that radius"
"subj6","frame_column_mass_max_deviation",4.44089209850063e-16,1e-10,TRUE,"max |sum_x w_xv - 1| over voxels: each voxel's evidence partitioned exactly once"
"subj6","whole_vt_total",223.630104996738,NA,NA,"the budget: face - house contrast total under whole_brain(""none"")"
"subj6","conservative_total_sum",223.630104996738,NA,NA,"sum over the conservative searchlights"
"subj6","conservation_identity",-2.27373675443232e-13,1e-10,TRUE,"sum_x total_x - whole_VT_total (contract section 2, claim 2) -- THE acceptance"
"subj6","conservation_identity_relative",-1.01674001112931e-15,1e-10,TRUE,"the same identity as a fraction of the budget"
"subj6","ledger_closes",0,1e-10,TRUE,"sum over contribution() groups minus sum over nodes; contribution() only adds"
"subj6","coherent_share_base_radius",0.720275739768566,NA,NA,"coherent share of the budget at r = 8 mm, aggregated over VT by contribution(); frame-relative (contract 4)"
"subj6","attribution_map_negative_nodes",2,NA,NA,"signed estimation layer: crossvalidated node totals may be negative (contract 6)"
"subj6","half_budget_nodes",57,NA,NA,"top-ranked nodes holding half the budget; a reading only an attribution map admits"
"subj6","territory_budget_share: face-selective",0.0467707475934422,NA,NA,"38 searchlights centred in Haxby's face-selective ROI"
"subj6","territory_budget_share: house-selective",0.759196363950087,NA,NA,"115 searchlights centred in Haxby's house-selective ROI"
"subj6","territory_budget_share: other VT",0.194032888456469,NA,NA,"195 searchlights centred in Haxby's other VT ROI"
"subj6","territory_ledger_closes",2.8421709430404e-14,1e-10,TRUE,"sum over face/house/other territories minus sum over nodes"
"subj6","n_quirks",1,NA,NA,"missing optional file(s): anat.nii.gz"
