"panel","quantity","contrast","group","value","tolerance","passes","note"
"C","latent_n_eff",NA,"whole VT",3.02093906674223,NA,NA,"participation ratio of the PSD-projected spectrum over 8 roots; latent layer only"
"C","latent_moved_mass",NA,"whole VT",10.3269818957449,NA,NA,"absolute mass the psd_projection removed (sum of |negative roots|)"
"C","latent_moved_share",NA,"whole VT",0.0277874655116227,NA,NA,"moved mass as a fraction of the source spectrum's total absolute mass"
"C","latent_clipped_measurements",NA,"whole VT",1,NA,NA,"the empirical form DOES clip: the projection is not a formality here"
"C","latent_cumulative_contribution",NA,"k=1",0.488483284693013,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=2",0.75714219305986,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=3",0.867755556181212,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=4",0.947258387899519,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=5",0.98551432851597,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=6",1,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=7",1,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"C","latent_cumulative_contribution",NA,"k=8",1,NA,NA,"C(k) on the latent PSD layer; forbidden on the signed layer (contract 6)"
"D","family_column_mass_max_deviation",NA,NA,4.9960036108132e-15,1e-10,TRUE,"the stacked family conserves"
"D","family_member_column_mass_max_deviation",NA,"radius-4",5.55111512312578e-17,1e-10,TRUE,"each member is column normalized ON ITS OWN; a conserving stack does not imply it (contract 3.1, precondition 1)"
"D","family_member_column_mass_max_deviation",NA,"radius-8",2.77555756156289e-16,1e-10,TRUE,"each member is column normalized ON ITS OWN; a conserving stack does not imply it (contract 3.1, precondition 1)"
"D","family_member_column_mass_max_deviation",NA,"radius-12",7.21644966006352e-16,1e-10,TRUE,"each member is column normalized ON ITS OWN; a conserving stack does not imply it (contract 3.1, precondition 1)"
"D","median_node_voxels",NA,"radius-4",4,NA,NA,"median searchlight size at this radius"
"D","median_node_voxels",NA,"radius-8",18,NA,NA,"median searchlight size at this radius"
"D","median_node_voxels",NA,"radius-12",52,NA,NA,"median searchlight size at this radius"
"D","per_scale_total","face - house","radius-4",83.8409954340944,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","face - house","radius-4",-9.9475983006414e-14,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","face - house","radius-4",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","face - house","radius-4",0.865522017556576,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","face - house","radius-4",0.830464103642525,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","face - house","radius-4",315,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","per_scale_total","face - house","radius-8",83.8409954340943,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","face - house","radius-8",-1.13686837721616e-13,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","face - house","radius-8",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","face - house","radius-8",0.734742889123205,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","face - house","radius-8",0.684387438368846,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","face - house","radius-8",457,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","per_scale_total","face - house","radius-12",83.8409954340944,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","face - house","radius-12",-4.2632564145606e-14,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","face - house","radius-12",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","face - house","radius-12",0.654908977340556,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","face - house","radius-12",0.564229082301992,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","face - house","radius-12",544,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","per_scale_total","animate - inanimate","radius-4",17.2115384730677,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","animate - inanimate","radius-4",1.06581410364015e-14,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","animate - inanimate","radius-4",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","animate - inanimate","radius-4",0.800302861058064,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","animate - inanimate","radius-4",0.800171391397523,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","animate - inanimate","radius-4",304,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","per_scale_total","animate - inanimate","radius-8",17.2115384730677,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","animate - inanimate","radius-8",-3.5527136788005e-15,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","animate - inanimate","radius-8",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","animate - inanimate","radius-8",0.581453083657576,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","animate - inanimate","radius-8",0.591274344743814,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","animate - inanimate","radius-8",427,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","per_scale_total","animate - inanimate","radius-12",17.2115384730677,NA,NA,"FIXED BY ALPHA, not a finding: alpha_s times the whole-VT total whatever the data say (contract 3.1)"
"D","per_scale_total_minus_alpha_times_whole","animate - inanimate","radius-12",-7.105427357601e-15,1e-10,TRUE,"the block law of contract 3.1, measured"
"D","family_alpha","animate - inanimate","radius-12",0.333333333333333,NA,NA,"the analyst's own weight; equal by default"
"D","coherent_share","animate - inanimate","radius-12",0.407816251871616,NA,NA,"THE scale-resolved quantity: exactly invariant to alpha (contract 3.2)"
"D","node_coherent_share_median","animate - inanimate","radius-12",0.473991871864364,NA,NA,"median over nodes with a valid fraction; the location-wise spectrum"
"D","node_coherent_share_n_valid","animate - inanimate","radius-12",505,NA,NA,"nodes whose components form a nonnegative partition; the rest are masked, never clamped"
"D","coherent_share_alpha_invariance","face - house",NA,7.7715611723761e-16,1e-10,TRUE,"max |share under alpha = (0.6, 0.3, 0.1) - share under equal alpha|; contract 3.2, measured not cited"
"D","per_scale_total_alpha_dependence","face - house",NA,67.0727963472755,NA,NA,"the same comparison for the energy column, which moves with alpha exactly as 3.1 says"
"D","coherent_share_alpha_invariance","animate - inanimate",NA,7.7715611723761e-16,1e-10,TRUE,"max |share under alpha = (0.6, 0.3, 0.1) - share under equal alpha|; contract 3.2, measured not cited"
"D","per_scale_total_alpha_dependence","animate - inanimate",NA,13.7692307784541,NA,NA,"the same comparison for the energy column, which moves with alpha exactly as 3.1 says"
"D","scale_energy_panel_refused",NA,"scale_energy_panel",1,NA,NA,"catch_refusal(plot(spectrum, which = ""profile""))$capability == ""scale_energy_panel""; reason: per_scale_energy_is_fixed_by_the_family_weights"
