"subject","quantity","value","tolerance","passes","note"
"sub-128","degenerate_voxels_dropped",0,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-128","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-128","glm_residual_df_min",174,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-128","glm_censored_volumes_total",41,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-128","glm_mean_framewise_displacement",0.25949415694562,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-128","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-128","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-129","native_searchlight_nodes",68218,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-129","coverage_voxels_seven_run_intersection",68218,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-129","degenerate_voxels_dropped",0,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-129","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-129","glm_residual_df_min",76,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-129","glm_censored_volumes_total",426,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-129","glm_mean_framewise_displacement",0.528985651173972,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-129","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-129","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-130","native_searchlight_nodes",65782,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-130","coverage_voxels_seven_run_intersection",65782,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-130","degenerate_voxels_dropped",0,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-130","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-130","glm_residual_df_min",109,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-130","glm_censored_volumes_total",270,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-130","glm_mean_framewise_displacement",0.391990968334562,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-130","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-130","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-131","native_searchlight_nodes",66836,NA,NA,"conservative searchlights, one per covered voxel; rows of this subject's transport"
"sub-131","coverage_voxels_seven_run_intersection",66836,NA,NA,"voxels inside all five trust and both sharedreward run brain masks"
"sub-131","degenerate_voxels_dropped",0,NA,NA,"voxels with no signal or no variance in some run; removed from native territory"
"sub-131","frame_column_mass_max_deviation",2.22044604925031e-15,1e-10,TRUE,"max |sum_x w_xv - 1|: each voxel's mass is split exactly once among the searchlights containing it"
"sub-131","glm_residual_df_min",88,NA,NA,"smallest per-run residual df across the five trust runs"
"sub-131","glm_censored_volumes_total",362,NA,NA,"volumes with framewise displacement > 0.5 mm, modelled as one indicator each, summed over five runs"
"sub-131","glm_mean_framewise_displacement",0.552248022190489,NA,NA,"mean FD in mm averaged over the five trust runs"
"sub-131","glm_trust_nuisance_levels",1,NA,NA,"trial types modelled but not read off as conditions in the trust runs; only missed_trial exists, so this is 0 or 1"
"sub-131","glm_shared_nuisance_levels",9,NA,NA,"trial types modelled but not read off as conditions in the sharedreward runs: the six block levels, the two too-sparse neutral event types, and missed_trial. Fitting the seven conditions alone instead changes the resulting fingerprint beyond recognition (median voxelwise correlation 0.13 on sub-104), so these are modelled rather than left to contaminate the regressors of interest"
"sub-104","sink_territory_PA",0.205386783589101,NA,NA,"unmapped native territory under P^A: a property of the operator alone (contract 7.5), computable before any data"
"sub-104","sink_territory_PF",0.205386783589101,NA,NA,"the same under P^F; equal to P^A's by construction because P^F carries exactly the rows P^A placed"
"sub-104","sink_identical_max_gap",5.55111512312578e-16,1e-12,TRUE,"max over native rows of |P^A sink - P^F sink|: the controlled-pair assertion that eta cannot be won by discarding territory"
"sub-104","all_sink_rows",13116,NA,NA,"native rows with no group mass at all; excluded from displacement and entropy and counted here (contract 7.5)"
"sub-104","transport_support_mean_nodes",5.47954437963109,NA,NA,"mean number of group nodes P^F may spread a placed row over"
"sub-104","fingerprint_similarity_sd",0.56874807717565,NA,NA,"sd of the voxel-to-group-node fingerprint correlation over the support; with temperature 6 this sets how peaked P^F is"
"sub-104","displacement_median_PA: mm",5.29583402307889,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-104","displacement_p90_PA: mm",7.38661255244919,NA,NA,"90th percentile of the same"
"sub-104","displacement_max_PA: mm",8.91900000000001,NA,NA,"maximum of the same"
"sub-104","displacement_masswt_mean_PA: mm",5.20152134061455,NA,NA,"row-mass-weighted mean of the same"
"sub-104","entropy_mean_PA: nats",0,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-104","displacement_median_PF: mm",6.72625077039031,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-104","displacement_p90_PF: mm",9.85215895195616,NA,NA,"90th percentile of the same"
"sub-104","displacement_max_PF: mm",11.88644772583,NA,NA,"maximum of the same"
"sub-104","displacement_masswt_mean_PF: mm",6.63797183272122,NA,NA,"row-mass-weighted mean of the same"
"sub-104","entropy_mean_PF: nats",0.76649390972856,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-104","perplexity_mean_PF",2.42020216697523,NA,NA,"MEAN of exp(H) over rows -- the effective number of group nodes a row spreads into. Not exp(mean H), which is reported separately; contract 7.5 requires the label"
"sub-104","exp_mean_entropy_PF",2.15220717747932,NA,NA,"exp(MEAN H). Differs from the row mean of exp(H) by Jensen; both are reported because the contract says an implementation must say which it means"
"sub-104","transport_budget_preservation_PA",7.88294426679269e-15,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-104","transport_executor_agreement_PA",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-104","transport_node_sum_plus_sink_PA",8.63409528276609e-15,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-104","transport_node_sum_without_sink_PA",0.337422057906137,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-104","transport_sink_budget_PA: choice-vs-outcome",14.7352949336205,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-104","transport_budget_preservation_PF",8.48932459500752e-15,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-104","transport_executor_agreement_PF",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-104","transport_node_sum_plus_sink_PF",9.59042943255853e-15,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-104","transport_node_sum_without_sink_PF",0.34874892462227,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-104","transport_sink_budget_PF: choice-vs-outcome",14.7352949336205,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-105","sink_territory_PA",0.222203514357436,NA,NA,"unmapped native territory under P^A: a property of the operator alone (contract 7.5), computable before any data"
"sub-105","sink_territory_PF",0.222203514357436,NA,NA,"the same under P^F; equal to P^A's by construction because P^F carries exactly the rows P^A placed"
"sub-105","sink_identical_max_gap",5.55111512312578e-16,1e-12,TRUE,"max over native rows of |P^A sink - P^F sink|: the controlled-pair assertion that eta cannot be won by discarding territory"
"sub-105","all_sink_rows",14517,NA,NA,"native rows with no group mass at all; excluded from displacement and entropy and counted here (contract 7.5)"
"sub-105","transport_support_mean_nodes",5.47468267243924,NA,NA,"mean number of group nodes P^F may spread a placed row over"
"sub-105","fingerprint_similarity_sd",0.576899248093973,NA,NA,"sd of the voxel-to-group-node fingerprint correlation over the support; with temperature 6 this sets how peaked P^F is"
"sub-105","displacement_median_PA: mm",5.29583402307889,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-105","displacement_p90_PA: mm",7.38661255244919,NA,NA,"90th percentile of the same"
"sub-105","displacement_max_PA: mm",8.91900000000001,NA,NA,"maximum of the same"
"sub-105","displacement_masswt_mean_PA: mm",5.20143153169475,NA,NA,"row-mass-weighted mean of the same"
"sub-105","entropy_mean_PA: nats",0,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-105","displacement_median_PF: mm",6.69169286829759,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-105","displacement_p90_PF: mm",9.79494586190836,NA,NA,"90th percentile of the same"
"sub-105","displacement_max_PF: mm",11.8899383228578,NA,NA,"maximum of the same"
"sub-105","displacement_masswt_mean_PF: mm",6.60345434671242,NA,NA,"row-mass-weighted mean of the same"
"sub-105","entropy_mean_PF: nats",0.78182814766094,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-105","perplexity_mean_PF",2.46018397594302,NA,NA,"MEAN of exp(H) over rows -- the effective number of group nodes a row spreads into. Not exp(mean H), which is reported separately; contract 7.5 requires the label"
"sub-105","exp_mean_entropy_PF",2.18546396651549,NA,NA,"exp(MEAN H). Differs from the row mean of exp(H) by Jensen; both are reported because the contract says an implementation must say which it means"
"sub-105","transport_budget_preservation_PA",3.90760619665777e-15,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-105","transport_executor_agreement_PA",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-105","transport_node_sum_plus_sink_PA",4.94438484391134e-15,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-105","transport_node_sum_without_sink_PA",0.225966622923706,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-105","transport_sink_budget_PA: choice-vs-outcome",1.08295091116016,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-105","transport_budget_preservation_PF",4.75249402296216e-15,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-105","transport_executor_agreement_PF",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-105","transport_node_sum_plus_sink_PF",6.33886847814943e-15,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-105","transport_node_sum_without_sink_PF",0.246157104838974,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-105","transport_sink_budget_PF: choice-vs-outcome",1.08295091116016,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-107","sink_territory_PA",0.231848679087042,NA,NA,"unmapped native territory under P^A: a property of the operator alone (contract 7.5), computable before any data"
"sub-107","sink_territory_PF",0.231848679087042,NA,NA,"the same under P^F; equal to P^A's by construction because P^F carries exactly the rows P^A placed"
"sub-107","sink_identical_max_gap",5.55111512312578e-16,1e-12,TRUE,"max over native rows of |P^A sink - P^F sink|: the controlled-pair assertion that eta cannot be won by discarding territory"
"sub-107","all_sink_rows",15481,NA,NA,"native rows with no group mass at all; excluded from displacement and entropy and counted here (contract 7.5)"
"sub-107","transport_support_mean_nodes",5.45074184554795,NA,NA,"mean number of group nodes P^F may spread a placed row over"
"sub-107","fingerprint_similarity_sd",0.600072827616303,NA,NA,"sd of the voxel-to-group-node fingerprint correlation over the support; with temperature 6 this sets how peaked P^F is"
"sub-107","displacement_median_PA: mm",5.29583402307889,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-107","displacement_p90_PA: mm",7.38661255244919,NA,NA,"90th percentile of the same"
"sub-107","displacement_max_PA: mm",8.91900000000001,NA,NA,"maximum of the same"
"sub-107","displacement_masswt_mean_PA: mm",5.21482959366817,NA,NA,"row-mass-weighted mean of the same"
"sub-107","entropy_mean_PA: nats",0,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-107","displacement_median_PF: mm",6.68211135005514,NA,NA,"median over native rows of the distance from the row's centre to the mass-weighted centroid of its group nodes (contract 7.5)"
"sub-107","displacement_p90_PF: mm",9.7967654207195,NA,NA,"90th percentile of the same"
"sub-107","displacement_max_PF: mm",11.8882185279633,NA,NA,"maximum of the same"
"sub-107","displacement_masswt_mean_PF: mm",6.59368582568999,NA,NA,"row-mass-weighted mean of the same"
"sub-107","entropy_mean_PF: nats",0.767687177105121,NA,NA,"mean over native rows of -sum_j ptilde log ptilde over the renormalized group columns; identically 0 for the hard P^A"
"sub-107","perplexity_mean_PF",2.43214310008544,NA,NA,"MEAN of exp(H) over rows -- the effective number of group nodes a row spreads into. Not exp(mean H), which is reported separately; contract 7.5 requires the label"
"sub-107","exp_mean_entropy_PF",2.15477686895139,NA,NA,"exp(MEAN H). Differs from the row mean of exp(H) by Jensen; both are reported because the contract says an implementation must say which it means"
"sub-107","transport_budget_preservation_PA",1.57381517849723e-14,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-107","transport_executor_agreement_PA",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-107","transport_node_sum_plus_sink_PA",1.9242933424722e-14,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-107","transport_node_sum_without_sink_PA",1.54368502780679,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-107","transport_sink_budget_PA: choice-vs-outcome",65.0935598613142,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-107","transport_budget_preservation_PF",1.60683228014402e-14,1e-12,TRUE,"|transported total incl. sink - native total| / L1 norm of the native ledger (contract claim 2)"
"sub-107","transport_executor_agreement_PF",0,1e-12,TRUE,"|transport_values() of this subject's own contrast_energy() ledger - the group fit's response|. Exact by construction; pins the executor's plumbing, NOT the commutation claim"
"sub-107","transport_node_sum_plus_sink_PF",2.0102358771738e-14,1e-12,TRUE,"max over queries of |sum over group nodes AND the sink - the transported native total|, relative to the L1 norm of the carried ledger (the scale the fit's own budget certificate uses)"
"sub-107","transport_node_sum_without_sink_PF",1.58743600843938,NA,NA,"the same relative gap with the sink row deleted. NOT an identity and not asserted: it is the size of the error a reader makes by ignoring the sink, and here that is about a fifth of the budget"
"sub-107","transport_sink_budget_PF: choice-vs-outcome",65.0935598613142,NA,NA,"sink budget in ledger units for the headline query: the part of this subject's contrast total that reached no group node"
"sub-108","sink_territory_PA",0.187267342785765,NA,NA,"unmapped native territory under P^A: a property of the operator alone (contract 7.5), computable before any data"
"sub-108","sink_territory_PF",0.187267342785765,NA,NA,"the same under P^F; equal to P^A's by construction because P^F carries exactly the rows P^A placed"
"sub-108","sink_identical_max_gap",4.44089209850063e-16,1e-12,TRUE,"max over native rows of |P^A sink - P^F sink|: the controlled-pair assertion that eta cannot be won by discarding territory"
